position,source_column,dtype,non_null_count,missing_percentage,unique_count
115,"""('P4_d_k ', 'Matlab')""",float64,1857,29.792060491493384,2
116,"""('P4_d_l ', 'PHP')""",float64,1857,29.792060491493384,2
117,"""('P4_d_m ', 'Javascript')""",float64,1857,29.792060491493384,2
118,"""('P4_d_n ', 'Não utilizo nenhuma linguagem')""",float64,1857,29.792060491493384,2
119,"""('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')""",object,1857,29.792060491493384,13
120,"""('P4_e_a ', 'SQL')""",float64,1857,29.792060491493384,2
121,"""('P4_e_b ', 'R ')""",float64,1857,29.792060491493384,2
122,"""('P4_e_c ', 'Python')""",float64,1857,29.792060491493384,2
123,"""('P4_e_d ', 'C/C++/C#')""",float64,1857,29.792060491493384,2
124,"""('P4_e_e ', '.NET')""",float64,1857,29.792060491493384,2
125,"""('P4_e_f ', 'Java')""",float64,1857,29.792060491493384,2
126,"""('P4_e_g ', 'Julia')""",float64,1857,29.792060491493384,1
127,"""('P4_e_h ', 'SAS/Stata')""",float64,1857,29.792060491493384,2
128,"""('P4_e_i ', 'Visual Basic/VBA')""",float64,1857,29.792060491493384,2
129,"""('P4_e_j ', 'Scala')""",float64,1857,29.792060491493384,2
130,"""('P4_e_k ', 'Matlab')""",float64,1857,29.792060491493384,2
131,"""('P4_e_l ', 'PHP')""",float64,1857,29.792060491493384,2
132,"""('P4_e_m ', 'Javascript')""",float64,1857,29.792060491493384,2
133,"""('P4_e_n ', 'Não utilizo nenhuma linguagem')""",float64,1857,29.792060491493384,2
134,"""('P4_f ', 'Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?')""",object,1856,29.829867674858225,995
135,"""('P4_f_a ', 'MySQL')""",float64,1856,29.829867674858225,2
136,"""('P4_f_b ', 'Oracle')""",float64,1856,29.829867674858225,2
137,"""('P4_f_c ', 'SQL SERVER')""",float64,1856,29.829867674858225,2
138,"""('P4_f_d ', 'SAP')""",float64,1856,29.829867674858225,2
139,"""('P4_f_e ', 'Amazon Aurora ou RDS')""",float64,1856,29.829867674858225,2
140,"""('P4_f_f ', 'Amazon DynamoDB')""",float64,1856,29.829867674858225,2
141,"""('P4_f_g ', 'CoachDB')""",float64,1856,29.829867674858225,2
142,"""('P4_f_h ', 'Cassandra')""",float64,1856,29.829867674858225,2
143,"""('P4_f_i ', 'MongoDB')""",float64,1856,29.829867674858225,2
144,"""('P4_f_j ', 'MariaDB')""",float64,1856,29.829867674858225,2
145,"""('P4_f_k ', 'Datomic')""",float64,1856,29.829867674858225,2
146,"""('P4_f_l ', 'S3')""",float64,1856,29.829867674858225,2
147,"""('P4_f_m ', 'PostgreSQL')""",float64,1856,29.829867674858225,2
148,"""('P4_f_n ', 'ElasticSearch')""",float64,1856,29.829867674858225,2
149,"""('P4_f_o ', 'DB2')""",float64,1856,29.829867674858225,2
150,"""('P4_f_p ', 'Microsoft Access')""",float64,1856,29.829867674858225,2
151,"""('P4_f_q ', 'SQLite')""",float64,1856,29.829867674858225,2
152,"""('P4_f_r ', 'Sybase')""",float64,1856,29.829867674858225,2
153,"""('P4_f_s ', 'Firebase')""",float64,1856,29.829867674858225,2
154,"""('P4_f_t ', 'Vertica')""",float64,1856,29.829867674858225,2
155,"""('P4_f_u ', 'Redis')""",float64,1856,29.829867674858225,2
156,"""('P4_f_v ', 'Neo4J')""",float64,1856,29.829867674858225,2
157,"""('P4_f_x ', 'Google BigQuery')""",float64,1856,29.829867674858225,2
158,"""('P4_f_y ', 'Google Firestore')""",float64,1856,29.829867674858225,2
159,"""('P4_f_z ', 'Amazon Redshift')""",float64,1856,29.829867674858225,2
160,"""('P4_f_z1 ', 'Amazon Athena')""",float64,1856,29.829867674858225,2
161,"""('P4_f_z2 ', 'Snowflake')""",float64,1856,29.829867674858225,2
162,"""('P4_f_z3 ', 'Databricks')""",float64,1856,29.829867674858225,2
163,"""('P4_f_z4 ', 'HBase')""",float64,1856,29.829867674858225,2
164,"""('P4_f_z5 ', 'Presto')""",float64,1856,29.829867674858225,2
165,"""('P4_f_z6 ', 'Splunk')""",float64,1856,29.829867674858225,2
166,"""('P4_f_z7 ', 'SAP HANA')""",float64,1856,29.829867674858225,2
167,"""('P4_f_z8 ', 'Hive')""",float64,1856,29.829867674858225,2
168,"""('P4_f_z9 ', 'Firebird')""",float64,1856,29.829867674858225,2
169,"""('P4_g ', 'Quais das opções de Cloud listadas abaixo você utiliza no trabalho?')""",object,1855,29.867674858223065,114
170,"""('P4_g_a ', 'Amazon Web Services (AWS)')""",float64,1855,29.867674858223065,2
171,"""('P4_g_b ', 'Google Cloud (GCP)')""",float64,1855,29.867674858223065,2
172,"""('P4_g_c ', 'Azure (Microsoft)')""",float64,1855,29.867674858223065,2
173,"""('P4_g_d ', 'Oracle Cloud')""",float64,1855,29.867674858223065,2
174,"""('P4_g_e ', 'IBM')""",float64,1855,29.867674858223065,2
175,"""('P4_g_f ', 'Servidores On Premise/Não utilizamos Cloud')""",float64,1855,29.867674858223065,2
176,"""('P4_g_g ', 'Cloud Própria')""",float64,1855,29.867674858223065,2
177,"""('P4_h ', 'Quais as Ferramentas de Business Intelligence você utiliza no trabalho?')""",object,1855,29.867674858223065,466
178,"""('P4_h_a ', 'Microsoft PowerBI')""",float64,1855,29.867674858223065,2
179,"""('P4_h_b ', 'Qlik View/Qlik Sense')""",float64,1855,29.867674858223065,2
180,"""('P4_h_c ', 'Tableau')""",float64,1855,29.867674858223065,2
181,"""('P4_h_d ', 'Metabase')""",float64,1855,29.867674858223065,2
182,"""('P4_h_e ', 'Superset')""",float64,1855,29.867674858223065,2
183,"""('P4_h_f ', 'Redash')""",float64,1855,29.867674858223065,2
184,"""('P4_h_g ', 'MicroStrategy')""",float64,1855,29.867674858223065,2
185,"""('P4_h_h ', 'IBM Analytics/Cognos')""",float64,1855,29.867674858223065,2
186,"""('P4_h_i ', 'SAP Business Objects')""",float64,1855,29.867674858223065,2
187,"""('P4_h_j ', 'Oracle Business Intelligence')""",float64,1855,29.867674858223065,2
188,"""('P4_h_k ', 'Amazon QuickSight')""",float64,1855,29.867674858223065,2
189,"""('P4_h_l ', 'Salesforce/Einstein Analytics')""",float64,1855,29.867674858223065,2
190,"""('P4_h_m ', 'Mode')""",float64,1855,29.867674858223065,2
191,"""('P4_h_n ', 'Alteryx')""",float64,1855,29.867674858223065,2
192,"""('P4_h_o ', 'Birst')""",float64,1855,29.867674858223065,1
193,"""('P4_h_p ', 'Looker')""",float64,1855,29.867674858223065,2
194,"""('P4_h_q ', 'Google Data Studio')""",float64,1855,29.867674858223065,2
195,"""('P4_h_r ', 'SAS Visual Analytics')""",float64,1855,29.867674858223065,2
196,"""('P4_h_s ', 'Grafana')""",float64,1855,29.867674858223065,2
197,"""('P4_h_t ', 'TIBCO Spotfire')""",float64,1855,29.867674858223065,2
198,"""('P4_h_u ', 'Pentaho')""",float64,1855,29.867674858223065,2
199,"""('P4_h_v ', 'Fazemos todas as análises utilizando apenas Excel ou planilhas do google')""",float64,1855,29.867674858223065,2
200,"""('P4_h_x ', 'Não utilizo nenhuma ferramenta de BI no trabalho')""",float64,1855,29.867674858223065,2
201,"""('P5_b ', 'Qual oportunidade você está buscando?')""",object,157,94.06427221172022,6
202,"""('P5_c ', 'Há quanto tempo você busca uma oportunidade na área de dados?')""",object,161,93.91304347826087,3
203,"""('P5_d ', 'Como tem sido a busca por um emprego na área de dados?')""",object,159,93.98865784499056,5
204,"""('P6_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual como engenheiro de dados?')""",object,404,84.72589792060492,194
205,"""('P6_a_a ', 'Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')""",float64,404,84.72589792060492,2
206,"""('P6_a_b ', 'Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')""",float64,404,84.72589792060492,2
207,"""('P6_a_c ', 'Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')""",float64,404,84.72589792060492,2
208,"""('P6_a_d ', 'Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')""",float64,404,84.72589792060492,2
209,"""('P6_a_e ', 'Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')""",float64,404,84.72589792060492,2
210,"""('P6_a_f ', 'Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.')""",float64,404,84.72589792060492,2
211,"""('P6_a_g ', 'Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.')""",float64,404,84.72589792060492,2
212,"""('P6_a_h ', 'Cuido da qualidade dos dados, metadados e dicionário de dados.')""",float64,404,84.72589792060492,2
213,"""('P6_a_i ', 'Nenhuma das opções listadas refletem meu dia a dia.')""",float64,404,84.72589792060492,2
214,"""('P6_b ', 'Quais as ferramentas/tecnologias de ETL que você utiliza no trabalho como Data Engineer?')""",object,404,84.72589792060492,188
215,"""('P6_b_a ', 'Scripts Python')""",float64,404,84.72589792060492,2
216,"""('P6_b_b ', 'SQL & Stored Procedures')""",float64,404,84.72589792060492,2
217,"""('P6_b_c ', 'Apache Airflow')""",float64,404,84.72589792060492,2
218,"""('P6_b_d ', 'Luigi')""",float64,404,84.72589792060492,2
219,"""('P6_b_e ', 'AWS Glue')""",float64,404,84.72589792060492,2
220,"""('P6_b_f ', 'Talend')""",float64,404,84.72589792060492,2
221,"""('P6_b_g ', 'Stitch')""",float64,404,84.72589792060492,2
222,"""('P6_b_h ', 'Fivetran')""",float64,404,84.72589792060492,2
223,"""('P6_b_i ', 'Google Dataflow')""",float64,404,84.72589792060492,2
224,"""('P6_b_j ', 'Oracle Data Integrator')""",float64,404,84.72589792060492,2
225,"""('P6_b_k ', 'IBM DataStage')""",float64,404,84.72589792060492,2
226,"""('P6_b_l ', 'SAP BW ETL')""",float64,404,84.72589792060492,2
227,"""('P6_b_m ', 'SQL Server Integration Services (SSIS)')""",float64,404,84.72589792060492,2
228,"""('P6_b_n ', 'SAS Data Integration')""",float64,404,84.72589792060492,2
229,"""('P6_b_o ', 'Qlik Sense')""",float64,404,84.72589792060492,2
230,"""('P6_b_p ', 'Knime')""",float64,404,84.72589792060492,2
231,"""('P6_b_q ', 'Não utilizo ferramentas de ETL')""",float64,404,84.72589792060492,2
232,"""('P6_c ', 'Sua organização possui um Data Lake?')""",float64,402,84.80151228733459,2
233,"""('P6_d ', 'Qual tecnologia utilizada como plataforma do Data Lake?')""",object,308,88.35538752362949,7
234,"""('P6_e ', 'Sua organização possui um Data Warehouse?')""",float64,402,84.80151228733459,2
235,"""('P6_f ', 'Qual tecnologia utilizada como plataforma do Data Warehouse?')""",object,297,88.77126654064273,10
236,"""('P6_g ', 'Quais as ferramentas de gestão de Qualidade de dados, Metadados e catálogo de dados você utiliza no trabalho?')""",object,208,92.13610586011343,12
237,"""('P6_g_a ', 'great_expectations')""",float64,208,92.13610586011343,2
238,"""('P6_g_b ', 'dbt')""",float64,208,92.13610586011343,2
239,"""('P6_g_c ', 'AWS Deequ')""",float64,208,92.13610586011343,2
240,"""('P6_g_d ', 'Apache Griffin')""",float64,208,92.13610586011343,2
241,"""('P6_g_e ', 'Datafold')""",float64,208,92.13610586011343,2
242,"""('P6_g_f ', 'Amundsen')""",float64,208,92.13610586011343,2
243,"""('P6_g_g ', 'Monte Carlo')""",float64,208,92.13610586011343,2
244,"""('P6_g_h ', 'SODA')""",float64,208,92.13610586011343,2
245,"""('P6_g_i ', 'Big Eye')""",float64,208,92.13610586011343,2
246,"""('P6_g_j ', 'Data Band')""",float64,208,92.13610586011343,1
247,"""('P6_g_k ', 'Anomalo')""",float64,208,92.13610586011343,2
248,"""('P6_g_l ', 'Metaplane')""",float64,208,92.13610586011343,2
249,"""('P6_g_m ', 'Acceldata')""",float64,208,92.13610586011343,2
